date,variable,value
FY2026,lt_debt_held_by_public_gdp_share,100.605
FY2027,lt_debt_held_by_public_gdp_share,102.069
FY2028,lt_debt_held_by_public_gdp_share,104.116
FY2029,lt_debt_held_by_public_gdp_share,105.811
FY2030,lt_debt_held_by_public_gdp_share,107.726
FY2031,lt_debt_held_by_public_gdp_share,109.573
FY2032,lt_debt_held_by_public_gdp_share,111.535
FY2033,lt_debt_held_by_public_gdp_share,113.992
FY2034,lt_debt_held_by_public_gdp_share,116.186
FY2035,lt_debt_held_by_public_gdp_share,117.977
FY2036,lt_debt_held_by_public_gdp_share,120.209
FY2037,lt_debt_held_by_public_gdp_share,122.449
FY2038,lt_debt_held_by_public_gdp_share,124.742
FY2039,lt_debt_held_by_public_gdp_share,127.066
FY2040,lt_debt_held_by_public_gdp_share,129.383
FY2041,lt_debt_held_by_public_gdp_share,131.71
FY2042,lt_debt_held_by_public_gdp_share,134.155
FY2043,lt_debt_held_by_public_gdp_share,136.631
FY2044,lt_debt_held_by_public_gdp_share,139.168
FY2045,lt_debt_held_by_public_gdp_share,141.784
FY2046,lt_debt_held_by_public_gdp_share,144.497
FY2047,lt_debt_held_by_public_gdp_share,147.277
FY2048,lt_debt_held_by_public_gdp_share,150.113
FY2049,lt_debt_held_by_public_gdp_share,153.018
FY2050,lt_debt_held_by_public_gdp_share,155.982
FY2051,lt_debt_held_by_public_gdp_share,159.029
FY2052,lt_debt_held_by_public_gdp_share,162.163
FY2053,lt_debt_held_by_public_gdp_share,165.314
FY2054,lt_debt_held_by_public_gdp_share,168.524
FY2055,lt_debt_held_by_public_gdp_share,171.785
FY2056,lt_debt_held_by_public_gdp_share,175.076
FY2026,lt_deficit_total_gdp_share,-5.807
FY2027,lt_deficit_total_gdp_share,-5.665
FY2028,lt_deficit_total_gdp_share,-5.643
FY2029,lt_deficit_total_gdp_share,-5.952
FY2030,lt_deficit_total_gdp_share,-5.886
FY2031,lt_deficit_total_gdp_share,-5.889
FY2032,lt_deficit_total_gdp_share,-6.057
FY2033,lt_deficit_total_gdp_share,-6.256
FY2034,lt_deficit_total_gdp_share,-6.47
FY2035,lt_deficit_total_gdp_share,-6.57
FY2036,lt_deficit_total_gdp_share,-6.669
FY2037,lt_deficit_total_gdp_share,-6.709
FY2038,lt_deficit_total_gdp_share,-6.81
FY2039,lt_deficit_total_gdp_share,-6.883
FY2040,lt_deficit_total_gdp_share,-6.941
FY2041,lt_deficit_total_gdp_share,-7.042
FY2042,lt_deficit_total_gdp_share,-7.208
FY2043,lt_deficit_total_gdp_share,-7.318
FY2044,lt_deficit_total_gdp_share,-7.452
FY2045,lt_deficit_total_gdp_share,-7.575
FY2046,lt_deficit_total_gdp_share,-7.701
FY2047,lt_deficit_total_gdp_share,-7.839
FY2048,lt_deficit_total_gdp_share,-7.965
FY2049,lt_deficit_total_gdp_share,-8.113
FY2050,lt_deficit_total_gdp_share,-8.238
FY2051,lt_deficit_total_gdp_share,-8.394
FY2052,lt_deficit_total_gdp_share,-8.565
FY2053,lt_deficit_total_gdp_share,-8.676
FY2054,lt_deficit_total_gdp_share,-8.835
FY2055,lt_deficit_total_gdp_share,-8.991
FY2056,lt_deficit_total_gdp_share,-9.134
FY2026,lt_gdp_trillions,31.902
FY2027,lt_gdp_trillions,33.315
FY2028,lt_gdp_trillions,34.666
FY2029,lt_gdp_trillions,36.01
FY2030,lt_gdp_trillions,37.391
FY2031,lt_gdp_trillions,38.813
FY2032,lt_gdp_trillions,40.277
FY2033,lt_gdp_trillions,41.796
FY2034,lt_gdp_trillions,43.373
FY2035,lt_gdp_trillions,45.012
FY2036,lt_gdp_trillions,46.712
FY2037,lt_gdp_trillions,48.473
FY2038,lt_gdp_trillions,50.302
FY2039,lt_gdp_trillions,52.196
FY2040,lt_gdp_trillions,54.167
FY2041,lt_gdp_trillions,56.216
FY2042,lt_gdp_trillions,58.325
FY2043,lt_gdp_trillions,60.509
FY2044,lt_gdp_trillions,62.767
FY2045,lt_gdp_trillions,65.086
FY2046,lt_gdp_trillions,67.459
FY2047,lt_gdp_trillions,69.907
FY2048,lt_gdp_trillions,72.43
FY2049,lt_gdp_trillions,75.033
FY2050,lt_gdp_trillions,77.711
FY2051,lt_gdp_trillions,80.469
FY2052,lt_gdp_trillions,83.314
FY2053,lt_gdp_trillions,86.254
FY2054,lt_gdp_trillions,89.292
FY2055,lt_gdp_trillions,92.435
FY2056,lt_gdp_trillions,95.69
FY2026,lt_gross_federal_debt_gdp_share,123.599
FY2027,lt_gross_federal_debt_gdp_share,123.903
FY2028,lt_gross_federal_debt_gdp_share,124.899
FY2029,lt_gross_federal_debt_gdp_share,125.499
FY2030,lt_gross_federal_debt_gdp_share,126.213
FY2031,lt_gross_federal_debt_gdp_share,126.809
FY2032,lt_gross_federal_debt_gdp_share,127.817
FY2033,lt_gross_federal_debt_gdp_share,130.107
FY2034,lt_gross_federal_debt_gdp_share,132.244
FY2035,lt_gross_federal_debt_gdp_share,134.157
FY2036,lt_gross_federal_debt_gdp_share,136.353
FY2037,lt_gross_federal_debt_gdp_share,138.554
FY2038,lt_gross_federal_debt_gdp_share,140.831
FY2039,lt_gross_federal_debt_gdp_share,143.212
FY2040,lt_gross_federal_debt_gdp_share,145.477
FY2041,lt_gross_federal_debt_gdp_share,147.853
FY2042,lt_gross_federal_debt_gdp_share,150.282
FY2043,lt_gross_federal_debt_gdp_share,152.725
FY2044,lt_gross_federal_debt_gdp_share,155.29
FY2045,lt_gross_federal_debt_gdp_share,157.795
FY2046,lt_gross_federal_debt_gdp_share,160.384
FY2047,lt_gross_federal_debt_gdp_share,163.175
FY2048,lt_gross_federal_debt_gdp_share,165.942
FY2049,lt_gross_federal_debt_gdp_share,168.775
FY2050,lt_gross_federal_debt_gdp_share,171.742
FY2051,lt_gross_federal_debt_gdp_share,174.637
FY2052,lt_gross_federal_debt_gdp_share,177.606
